matchup,h2h_win_rate
Belgium-Brazil,0.75
Bolivia-Brazil,0.7272727272727273
Bosnia and Herzegovina-Brazil,1.0
Anguilla-British Virgin Islands,0.5454545454545454
Antigua and Barbuda-British Virgin Islands,0.0
Aruba-British Virgin Islands,0.5
Bahamas-British Virgin Islands,0.2
Barbados-British Virgin Islands,0.5
Bermuda-British Virgin Islands,0.0
Bonaire-British Virgin Islands,0.0
Bermuda-Brunei,0.5
Bhutan-Brunei,0.0
Albania-Bulgaria,0.5384615384615384
Algeria-Bulgaria,0.4
Andorra-Bulgaria,1.0
Argentina-Bulgaria,0.125
Armenia-Bulgaria,1.0
Australia-Bulgaria,0.6666666666666666
Austria-Bulgaria,0.0
Azerbaijan-Bulgaria,0.75
Belarus-Bulgaria,0.5555555555555556
Belgium-Bulgaria,0.46153846153846156
Bolivia-Bulgaria,0.5
Bosnia and Herzegovina-Bulgaria,1.0
Brazil-Bulgaria,0.0
Algeria-Burkina Faso,0.2608695652173913
Angola-Burkina Faso,0.42857142857142855
Bahrain-Burkina Faso,0.0
Belgium-Burkina Faso,0.5
Benin-Burkina Faso,0.6666666666666666
Botswana-Burkina Faso,0.5
Algeria-Burundi,0.0
Angola-Burundi,0.0
Bahrain-Burundi,0.5
Bangladesh-Burundi,0.5
Benin-Burundi,0.0
Botswana-Burundi,0.25
Burkina Faso-Burundi,0.0
Burundi-Equatorial Guinea,0.5
Afghanistan-Cambodia,0.25
Aruba-Cambodia,0.5
Australia-Cambodia,0.5
Bahrain-Cambodia,0.0
Bangladesh-Cambodia,0.0
Bhutan-Cambodia,0.5
Brunei-Cambodia,0.625
Albania-Cameroon,0.5
Algeria-Cameroon,0.4
Angola-Cameroon,0.3888888888888889
Argentina-Cameroon,1.0
Australia-Cameroon,0.5
Austria-Cameroon,0.0
Benin-Cameroon,0.8333333333333334
Bolivia-Cameroon,0.5
Botswana-Cameroon,0.5
Brazil-Cameroon,0.16666666666666666
Bulgaria-Cameroon,0.5
Burkina Faso-Cameroon,0.625
Burundi-Cameroon,1.0
Algeria-Canada,0.5
Argentina-Canada,0.0
Armenia-Canada,0.5
Aruba-Canada,0.5
Australia-Canada,0.3333333333333333
Austria-Canada,0.5
Azerbaijan-Canada,0.5
Bahrain-Canada,0.5
Barbados-Canada,1.0
Belarus-Canada,1.0
Belgium-Canada,0.0
Belize-Canada,1.0
Bermuda-Canada,0.6363636363636364
Brazil-Canada,0.0
Bulgaria-Canada,0.5
Cameroon-Canada,1.0
Algeria-Cape Verde,0.2
Andorra-Cape Verde,0.0
Angola-Cape Verde,0.2222222222222222
Bahrain-Cape Verde,0.5
Botswana-Cape Verde,0.0
Burkina Faso-Cape Verde,0.5
Cameroon-Cape Verde,0.25
Anguilla-Cayman Islands,1.0
Antigua and Barbuda-Cayman Islands,0.5
Aruba-Cayman Islands,0.3333333333333333
Bahamas-Cayman Islands,1.0
Barbados-Cayman Islands,0.5
Belize-Cayman Islands,0.0
Bermuda-Cayman Islands,0.1111111111111111
British Virgin Islands-Cayman Islands,0.6
Canada-Cayman Islands,0.5
Algeria-Central African Republic,0.5
Angola-Central African Republic,0.3333333333333333
Bhutan-Central African Republic,0.5
Botswana-Central African Republic,1.0
Burkina Faso-Central African Republic,0.25
Burundi-Central African Republic,1.0
Cameroon-Central African Republic,0.14285714285714285
Cape Verde-Central African Republic,0.0
Algeria-Chad,0.0
Angola-Chad,1.0
Bahrain-Chad,0.5
Benin-Chad,0.0
Botswana-Chad,0.0
Cameroon-Chad,0.0
Central African Republic-Chad,0.36363636363636365
Chad-Eritrea,0.5
Albania-Chile,0.5
Algeria-Chile,0.5
Argentina-Chile,0.06451612903225806
Armenia-Chile,0.5
Australia-Chile,0.8
Austria-Chile,0.0
Belgium-Chile,0.0
Bolivia-Chile,0.62
Brazil-Chile,0.10526315789473684
Bulgaria-Chile,0.5
Burkina Faso-Chile,0.5
Cameroon-Chile,0.0
Canada-Chile,0.6666666666666666
Afghanistan-China,0.5
Albania-China,0.0
Algeria-China,0.5
Andorra-China,0.5
Argentina-China,0.5
Australia-China,0.23809523809523808
Bahrain-China,0.5
Bangladesh-China,1.0
Bhutan-China,1.0
Bosnia and Herzegovina-China,0.5
Botswana-China,1.0
Brazil-China,0.0
Brunei-China,1.0
Cambodia-China,1.0
Canada-China,1.0
Chile-China,0.5
China-Equatorial Guinea,0.5
China-Mongolia,0.5
Algeria-Colombia,0.5
Argentina-Colombia,0.23809523809523808
Australia-Colombia,0.5
Bahrain-Colombia,0.5
Belgium-Colombia,0.0
Bolivia-Colombia,0.48484848484848486
Brazil-Colombia,0.10810810810810811
Cameroon-Colombia,0.3333333333333333
Canada-Colombia,0.6666666666666666
Chile-Colombia,0.2558139534883721
China-Colombia,0.3333333333333333
Colombia-Montenegro,0.5
Angola-Comoros,0.0
Botswana-Comoros,0.25
Burkina Faso-Comoros,0.0
Burundi-Comoros,0.5
Cameroon-Comoros,0.0
Cape Verde-Comoros,0.5
Central African Republic-Comoros,1.0
Chad-Comoros,1.0
Algeria-Congo,0.0
Angola-Congo,0.3076923076923077
Bahrain-Congo,0.5
Benin-Congo,0.36363636363636365
Burkina Faso-Congo,0.25
Burundi-Congo,0.5
Cameroon-Congo,0.36666666666666664
Cape Verde-Congo,0.5
Central African Republic-Congo,0.8461538461538461
Chad-Congo,0.5625
China-Congo,0.0
American Samoa-Cook Islands,0.5
Australia-Cook Islands,0.0
Argentina-Costa Rica,0.0
Aruba-Costa Rica,0.5
Australia-Costa Rica,0.5
Austria-Costa Rica,0.0
Bahamas-Costa Rica,0.5
Barbados-Costa Rica,0.0
Belgium-Costa Rica,0.0
Belize-Costa Rica,1.0
Bermuda-Costa Rica,1.0
Bolivia-Costa Rica,1.0
Bosnia and Herzegovina-Costa Rica,0.5
Brazil-Costa Rica,0.09090909090909091
Cameroon-Costa Rica,0.5
Canada-Costa Rica,0.34782608695652173
Chile-Costa Rica,0.5
China-Costa Rica,0.5
Colombia-Costa Rica,0.23076923076923078
Albania-Croatia,0.5
Andorra-Croatia,1.0
Argentina-Croatia,0.4
Armenia-Croatia,0.5
Australia-Croatia,0.2
Austria-Croatia,0.8333333333333334
Azerbaijan-Croatia,0.6666666666666666
Belarus-Croatia,1.0
Belgium-Croatia,0.375
Bosnia and Herzegovina-Croatia,1.0
Brazil-Croatia,0.0
Bulgaria-Croatia,0.625
Cameroon-Croatia,0.5
Canada-Croatia,0.5
Chile-Croatia,0.5
China-Croatia,0.5
Albania-Cuba,0.5
Algeria-Cuba,0.5
Angola-Cuba,0.2857142857142857
Anguilla-Cuba,1.0
Antigua and Barbuda-Cuba,0.8571428571428571
Aruba-Cuba,0.5
Austria-Cuba,0.5
Bahamas-Cuba,1.0
Barbados-Cuba,0.5
Belize-Cuba,0.6666666666666666
Bermuda-Cuba,0.8
Bolivia-Cuba,0.5
British Virgin Islands-Cuba,0.5
Bulgaria-Cuba,0.5
Cameroon-Cuba,0.5
Canada-Cuba,0.14285714285714285
Cayman Islands-Cuba,0.7857142857142857
Chile-Cuba,0.0
China-Cuba,0.5
Congo-Cuba,0.5
Costa Rica-Cuba,0.05263157894736842
Antigua and Barbuda-Curaçao,0.4
Argentina-Curaçao,0.5
Aruba-Curaçao,0.55
Bahamas-Curaçao,0.5
Bahrain-Curaçao,0.5
Barbados-Curaçao,0.2857142857142857
Bermuda-Curaçao,0.5
Bolivia-Curaçao,0.0
Bonaire-Curaçao,0.84375
British Virgin Islands-Curaçao,1.0
Canada-Curaçao,0.0
Cayman Islands-Curaçao,0.5
Colombia-Curaçao,0.5
Costa Rica-Curaçao,0.18181818181818182
Cuba-Curaçao,0.4
Albania-Cyprus,0.4
Andorra-Cyprus,1.0
Armenia-Cyprus,0.6666666666666666
Austria-Cyprus,0.0
Azerbaijan-Cyprus,0.0
Belarus-Cyprus,0.0
Belgium-Cyprus,0.0
Bosnia and Herzegovina-Cyprus,0.4
Bulgaria-Cyprus,0.0625
Canada-Cyprus,0.0
Croatia-Cyprus,0.0
Albania-Czechia,0.5555555555555556
Andorra-Czechia,1.0
Argentina-Czechia,0.2
Armenia-Czechia,0.8
Australia-Czechia,0.7777777777777778
Austria-Czechia,0.46511627906976744
Azerbaijan-Czechia,0.0
Belarus-Czechia,1.0
Belgium-Czechia,0.47368421052631576
Bolivia-Czechia,0.0
Bosnia and Herzegovina-Czechia,1.0
Brazil-Czechia,0.1111111111111111
Bulgaria-Czechia,0.45
Canada-Czechia,1.0
Chile-Czechia,0.5
China-Czechia,0.5
Costa Rica-Czechia,1.0
Croatia-Czechia,0.0
Cyprus-Czechia,0.7777777777777778
Algeria-DR Congo,0.0
Angola-DR Congo,0.4375
Bahrain-DR Congo,0.5
Benin-DR Congo,0.8333333333333334
Botswana-DR Congo,0.4
Brazil-DR Congo,0.5
Burkina Faso-DR Congo,0.45454545454545453
Burundi-DR Congo,1.0
Cameroon-DR Congo,0.3157894736842105
Cape Verde-DR Congo,0.5
Central African Republic-DR Congo,0.7142857142857143
Chad-DR Congo,0.5
China-DR Congo,0.5
Congo-DR Congo,0.4444444444444444
Albania-Denmark,0.6666666666666666
Algeria-Denmark,0.5
Argentina-Denmark,0.0
Armenia-Denmark,0.7142857142857143
Australia-Denmark,0.5
Austria-Denmark,0.5833333333333334
Belarus-Denmark,0.6666666666666666
Belgium-Denmark,0.4
Benin-Denmark,0.5
Bermuda-Denmark,1.0
Bosnia and Herzegovina-Denmark,0.2
Brazil-Denmark,0.5
Bulgaria-Denmark,0.2
Cameroon-Denmark,0.5
Canada-Denmark,0.5
Chile-Denmark,0.0
Croatia-Denmark,0.2857142857142857
Curaçao-Denmark,1.0
Cyprus-Denmark,0.8
Czechia-Denmark,0.08
Algeria-Djibouti,0.0
Bahrain-Djibouti,0.5
Burkina Faso-Djibouti,0.0
Burundi-Djibouti,0.0
Cameroon-Djibouti,0.5
Comoros-Djibouti,0.5
DR Congo-Djibouti,0.0
Anguilla-Dominica,0.6666666666666666
Antigua and Barbuda-Dominica,0.21052631578947367
Aruba-Dominica,0.5
Bahamas-Dominica,0.5
Barbados-Dominica,0.2
Bermuda-Dominica,0.0
British Virgin Islands-Dominica,0.8333333333333334
Canada-Dominica,0.0
Cayman Islands-Dominica,0.5
Cuba-Dominica,0.0
Anguilla-Dominican Republic,0.8
Antigua and Barbuda-Dominican Republic,0.4444444444444444
Aruba-Dominican Republic,0.6666666666666666
Bahamas-Dominican Republic,0.0
Barbados-Dominican Republic,0.8
Belize-Dominican Republic,0.3333333333333333
Bermuda-Dominican Republic,0.4
Bonaire-Dominican Republic,0.5
British Virgin Islands-Dominican Republic,0.75
Cayman Islands-Dominican Republic,0.5
Chile-Dominican Republic,0.5
Costa Rica-Dominican Republic,0.0
Cuba-Dominican Republic,0.0
Curaçao-Dominican Republic,0.42857142857142855
Dominica-Dominican Republic,0.8
Albania-East Germany,0.5
Algeria-East Germany,1.0
Argentina-East Germany,0.0
Australia-East Germany,0.5
Austria-East Germany,0.2
Belgium-East Germany,0.2857142857142857
Bolivia-East Germany,0.5
Brazil-East Germany,0.0
Bulgaria-East Germany,0.3
Canada-East Germany,1.0
Chile-East Germany,0.75
Colombia-East Germany,0.5
Cuba-East Germany,0.5
Czechia-East Germany,0.4666666666666667
Denmark-East Germany,0.4
Brunei-East Timor,0.36363636363636365
Cambodia-East Timor,0.1111111111111111
Argentina-Ecuador,0.12195121951219512
Armenia-Ecuador,0.5
Australia-Ecuador,0.5
Belarus-Ecuador,0.5
Bolivia-Ecuador,0.5405405405405406
Brazil-Ecuador,0.05555555555555555
Bulgaria-Ecuador,0.0
Canada-Ecuador,0.6666666666666666
Cape Verde-Ecuador,0.5
Chile-Ecuador,0.2222222222222222
Colombia-Ecuador,0.25
Costa Rica-Ecuador,0.45454545454545453
Croatia-Ecuador,0.5
Cuba-Ecuador,0.0
East Germany-Ecuador,0.0
Algeria-Egypt,0.2857142857142857
Angola-Egypt,0.5714285714285714
Argentina-Egypt,0.0
Australia-Egypt,0.0
Austria-Egypt,0.5
Bahrain-Egypt,0.5
Belarus-Egypt,0.5
Belgium-Egypt,0.6666666666666666
Benin-Egypt,0.75
Bolivia-Egypt,0.5
Bosnia and Herzegovina-Egypt,0.5
Botswana-Egypt,0.7142857142857143
Brazil-Egypt,0.0
Bulgaria-Egypt,0.5
Burkina Faso-Egypt,0.5714285714285714
Burundi-Egypt,0.75
Cameroon-Egypt,0.5
Canada-Egypt,0.5
Cape Verde-Egypt,0.3333333333333333
Central African Republic-Egypt,0.0
Chad-Egypt,0.6
Chile-Egypt,0.5
China-Egypt,1.0
Colombia-Egypt,0.0
Comoros-Egypt,0.0
Congo-Egypt,0.8333333333333334
Costa Rica-Egypt,0.5
Croatia-Egypt,0.0
Czechia-Egypt,0.5
DR Congo-Egypt,0.6666666666666666
Denmark-Egypt,0.0
Djibouti-Egypt,1.0
East Germany-Egypt,0.0
Anguilla-El Salvador,1.0
Antigua and Barbuda-El Salvador,0.5
Argentina-El Salvador,0.0
Armenia-El Salvador,0.5
Aruba-El Salvador,0.5
Barbados-El Salvador,1.0
Belgium-El Salvador,0.0
Belize-El Salvador,1.0
Bermuda-El Salvador,0.5
Bolivia-El Salvador,0.25
Bonaire-El Salvador,0.5
Brazil-El Salvador,0.0
Canada-El Salvador,0.2631578947368421
Cayman Islands-El Salvador,1.0
Chile-El Salvador,0.0
China-El Salvador,0.5
Colombia-El Salvador,0.16666666666666666
Costa Rica-El Salvador,0.15942028985507245
Cuba-El Salvador,0.6666666666666666
Curaçao-El Salvador,0.5454545454545454
Dominican Republic-El Salvador,0.75
Ecuador-El Salvador,0.125
Albania-England,1.0
Algeria-England,0.5
Andorra-England,1.0
Argentina-England,0.35714285714285715
Australia-England,0.5714285714285714
Austria-England,0.5555555555555556
Azerbaijan-England,1.0
Belarus-England,1.0
Belgium-England,0.6571428571428571
Bosnia and Herzegovina-England,0.5
Brazil-England,0.15384615384615385
Bulgaria-England,0.6363636363636364
Cameroon-England,1.0
Canada-England,0.5
Chile-England,0.4
China-England,0.5
Colombia-England,0.6
Costa Rica-England,0.0
Croatia-England,0.5
Cyprus-England,1.0
Czechia-England,0.5882352941176471
Denmark-England,0.5925925925925926
East Germany-England,0.6666666666666666
Ecuador-England,1.0
Egypt-England,1.0
Algeria-Equatorial Guinea,0.3333333333333333
Andorra-Equatorial Guinea,0.5
Angola-Equatorial Guinea,0.0
Benin-Equatorial Guinea,0.4
Botswana-Equatorial Guinea,0.5
Burkina Faso-Equatorial Guinea,0.0
Cambodia-Equatorial Guinea,0.5
Cameroon-Equatorial Guinea,0.125
Cape Verde-Equatorial Guinea,0.25
Central African Republic-Equatorial Guinea,0.3333333333333333
Chad-Equatorial Guinea,0.0
Congo-Equatorial Guinea,0.125
DR Congo-Equatorial Guinea,0.5
Djibouti-Equatorial Guinea,0.5
Egypt-Equatorial Guinea,0.5
Equatorial Guinea-Sao Tome and Principe,0.5
Equatorial Guinea-São Tome and Principe,0.5
Angola-Eritrea,0.0
Botswana-Eritrea,0.0
Burundi-Eritrea,0.0
Cameroon-Eritrea,0.0
Djibouti-Eritrea,1.0
Albania-Estonia,0.0
Andorra-Estonia,1.0
Angola-Estonia,0.5
Antigua and Barbuda-Estonia,0.5
Argentina-Estonia,0.5
Armenia-Estonia,0.3333333333333333
Austria-Estonia,0.0
Azerbaijan-Estonia,0.36363636363636365
Belarus-Estonia,0.375
Belgium-Estonia,0.1111111111111111
Bosnia and Herzegovina-Estonia,0.16666666666666666
Brazil-Estonia,0.5
Bulgaria-Estonia,0.0
Canada-Estonia,1.0
Chile-Estonia,0.5
China-Estonia,0.0
Croatia-Estonia,0.0
Cyprus-Estonia,0.18181818181818182
Czechia-Estonia,0.0
Denmark-Estonia,0.5
Ecuador-Estonia,0.0
Egypt-Estonia,0.0
El Salvador-Estonia,0.5
England-Estonia,0.0
Equatorial Guinea-Estonia,0.5
Angola-Eswatini,0.1111111111111111
Botswana-Eswatini,0.16666666666666666
Burkina Faso-Eswatini,0.0
Cameroon-Eswatini,0.0
Cape Verde-Eswatini,0.0
Comoros-Eswatini,1.0
Congo-Eswatini,0.0
DR Congo-Eswatini,0.2
Djibouti-Eswatini,0.6666666666666666
Egypt-Eswatini,0.0
Eritrea-Eswatini,0.0
Algeria-Ethiopia,0.14285714285714285
Angola-Ethiopia,0.5
Benin-Ethiopia,0.5
Botswana-Ethiopia,1.0
Burkina Faso-Ethiopia,0.2
Burundi-Ethiopia,0.6
Cameroon-Ethiopia,0.0
Cape Verde-Ethiopia,0.5
Central African Republic-Ethiopia,1.0
Chad-Ethiopia,0.0
China-Ethiopia,0.5
Comoros-Ethiopia,0.5
Congo-Ethiopia,0.0
Cuba-Ethiopia,0.5
DR Congo-Ethiopia,0.16666666666666666
Djibouti-Ethiopia,0.8666666666666667
Egypt-Ethiopia,0.14285714285714285
Eswatini-Ethiopia,0.5
Albania-Faroe Islands,0.0
Andorra-Faroe Islands,0.5
Armenia-Faroe Islands,0.0
Austria-Faroe Islands,0.14285714285714285
Azerbaijan-Faroe Islands,0.0
Belgium-Faroe Islands,0.0
Bosnia and Herzegovina-Faroe Islands,0.0
Canada-Faroe Islands,1.0
Croatia-Faroe Islands,0.0
Cyprus-Faroe Islands,0.0
Czechia-Faroe Islands,0.0
Denmark-Faroe Islands,0.0
Estonia-Faroe Islands,0.2857142857142857
American Samoa-Fiji,1.0
Australia-Fiji,0.25
China-Fiji,0.5
Cook Islands-Fiji,1.0
Estonia-Fiji,0.5
Albania-Finland,0.6666666666666666
Algeria-Finland,0.5
Andorra-Finland,0.5
Armenia-Finland,0.8
Austria-Finland,0.1
Azerbaijan-Finland,0.8571428571428571
Bahrain-Finland,0.75
Barbados-Finland,0.5
Belarus-Finland,0.25
Belgium-Finland,0.36363636363636365
Bermuda-Finland,0.5
Bolivia-Finland,0.0
Bosnia and Herzegovina-Finland,0.3333333333333333
Brazil-Finland,0.0
Bulgaria-Finland,0.1111111111111111
Cameroon-Finland,0.0
Canada-Finland,0.5
Chile-Finland,0.5
China-Finland,0.3333333333333333
Colombia-Finland,0.5
Costa Rica-Finland,0.5
Croatia-Finland,0.0
Cyprus-Finland,0.3333333333333333
Czechia-Finland,0.3
Denmark-Finland,0.2
East Germany-Finland,0.3333333333333333
Ecuador-Finland,0.5
Egypt-Finland,0.0
England-Finland,0.0
Estonia-Finland,0.4594594594594595
Faroe Islands-Finland,1.0
Albania-France,0.75
Algeria-France,0.5
Andorra-France,1.0
Argentina-France,0.25
Armenia-France,1.0
Australia-France,0.6
Austria-France,0.52
Azerbaijan-France,1.0
Belarus-France,0.4
Belgium-France,0.36363636363636365
Bolivia-France,0.5
Bosnia and Herzegovina-France,0.6
Brazil-France,0.3333333333333333
Bulgaria-France,0.45454545454545453
Cameroon-France,0.5
Canada-France,1.0
Chile-France,0.4
China-France,1.0
Colombia-France,1.0
Costa Rica-France,1.0
Croatia-France,0.5454545454545454
Cyprus-France,0.8571428571428571
Czechia-France,0.34782608695652173
Denmark-France,0.4444444444444444
East Germany-France,0.16666666666666666
Ecuador-France,1.0
Egypt-France,0.5
England-France,0.25
Estonia-France,0.5
Faroe Islands-France,1.0
Finland-France,0.9
France-Latvia,0.5
Anguilla-French Guiana,1.0
Antigua and Barbuda-French Guiana,0.5
Aruba-French Guiana,0.6666666666666666
Barbados-French Guiana,1.0
Belize-French Guiana,0.16666666666666666
Bermuda-French Guiana,0.25
British Virgin Islands-French Guiana,0.5
Canada-French Guiana,0.0
Cayman Islands-French Guiana,0.5
Costa Rica-French Guiana,0.5
Cuba-French Guiana,0.0
Curaçao-French Guiana,0.3333333333333333
Dominica-French Guiana,0.0
Dominican Republic-French Guiana,0.5
Algeria-Gabon,0.5
Andorra-Gabon,0.5
Angola-Gabon,0.21739130434782608
Belarus-Gabon,0.5
Belgium-Gabon,0.5
Benin-Gabon,0.5
Botswana-Gabon,0.5
Brazil-Gabon,0.5
Burkina Faso-Gabon,0.391304347826087
Burundi-Gabon,0.5
Cameroon-Gabon,0.07407407407407407
Cape Verde-Gabon,0.5
Central African Republic-Gabon,0.5
Chad-Gabon,0.4375
Comoros-Gabon,0.0
Congo-Gabon,0.22857142857142856
DR Congo-Gabon,0.3157894736842105
Egypt-Gabon,0.0
Equatorial Guinea-Gabon,0.6363636363636364
Eswatini-Gabon,1.0
Algeria-Gambia,0.2857142857142857
Angola-Gambia,0.16666666666666666
Benin-Gambia,0.0
Burkina Faso-Gambia,0.0
Burundi-Gambia,0.0
Cameroon-Gambia,0.0
Cape Verde-Gambia,0.5
Central African Republic-Gambia,1.0
Chad-Gambia,1.0
Comoros-Gambia,0.0
Congo-Gambia,0.25
DR Congo-Gambia,0.5
Denmark-Gambia,0.5
Djibouti-Gambia,0.0
Equatorial Guinea-Gambia,0.0
Gabon-Gambia,0.4
Albania-Georgia,0.5625
Andorra-Georgia,1.0
Armenia-Georgia,0.6363636363636364
Austria-Georgia,0.0
Azerbaijan-Georgia,0.5555555555555556
Belarus-Georgia,0.3333333333333333
Bosnia and Herzegovina-Georgia,0.5
Bulgaria-Georgia,0.3333333333333333
Cameroon-Georgia,0.5
Cape Verde-Georgia,0.5
Croatia-Georgia,0.5
Cyprus-Georgia,0.42857142857142855
Czechia-Georgia,0.5
Denmark-Georgia,0.0
Egypt-Georgia,0.5
England-Georgia,0.0
Estonia-Georgia,0.5714285714285714
Faroe Islands-Georgia,1.0
Finland-Georgia,0.0
France-Georgia,0.0
Albania-Germany,0.9230769230769231
Algeria-Germany,0.0
Argentina-Germany,0.3181818181818182
Armenia-Germany,1.0
Australia-Germany,0.6
Austria-Germany,0.625
Azerbaijan-Germany,1.0
Belarus-Germany,0.5
Belgium-Germany,0.8
Bolivia-Germany,0.5
Bosnia and Herzegovina-Germany,0.6666666666666666
Brazil-Germany,0.22727272727272727
Bulgaria-Germany,0.8
Cameroon-Germany,0.6666666666666666
Canada-Germany,1.0
Chile-Germany,0.625
China-Germany,1.0
Colombia-Germany,0.5
Costa Rica-Germany,1.0
Croatia-Germany,0.7142857142857143
Cyprus-Germany,0.8
Czechia-Germany,0.5517241379310345
Denmark-Germany,0.5357142857142857
East Germany-Germany,0.5
Ecuador-Germany,1.0
Egypt-Germany,0.5
England-Germany,0.35135135135135137
Estonia-Germany,1.0
Faroe Islands-Germany,1.0
Finland-Germany,0.6818181818181818
France-Germany,0.3235294117647059
Georgia-Germany,1.0
Algeria-Ghana,0.5
Angola-Ghana,0.4444444444444444
Argentina-Ghana,0.5
Australia-Ghana,0.16666666666666666
Austria-Ghana,0.5
Benin-Ghana,0.5909090909090909
Bosnia and Herzegovina-Ghana,0.5
Botswana-Ghana,0.0
Brazil-Ghana,0.0
Burkina Faso-Ghana,0.6
Burundi-Ghana,0.0
Cameroon-Ghana,0.35714285714285715
Canada-Ghana,0.0
Cape Verde-Ghana,1.0
Central African Republic-Ghana,0.6666666666666666
Chad-Ghana,1.0
Chile-Ghana,0.0
China-Ghana,1.0
Comoros-Ghana,0.25
Congo-Ghana,0.7142857142857143
Cuba-Ghana,0.5
Czechia-Ghana,0.5
DR Congo-Ghana,0.47619047619047616
Denmark-Ghana,0.5
East Germany-Ghana,1.0
Egypt-Ghana,0.2692307692307692
El Salvador-Ghana,0.5
England-Ghana,0.5
Equatorial Guinea-Ghana,0.5
Eritrea-Ghana,0.5
Eswatini-Ghana,1.0
Ethiopia-Ghana,0.8
Gabon-Ghana,0.6
Gambia-Ghana,0.8
Germany-Ghana,0.0
Albania-Gibraltar,0.5
Andorra-Gibraltar,0.5
Armenia-Gibraltar,1.0
Belgium-Gibraltar,0.0
Bermuda-Gibraltar,0.5
Bosnia and Herzegovina-Gibraltar,0.0
Bulgaria-Gibraltar,0.0
Croatia-Gibraltar,0.0
Cyprus-Gibraltar,0.0
Czechia-Gibraltar,0.0
Denmark-Gibraltar,0.0
Estonia-Gibraltar,0.0
Faroe Islands-Gibraltar,0.25
France-Gibraltar,0.0
Georgia-Gibraltar,0.0
Germany-Gibraltar,0.0
Gibraltar-Monaco,0.0
Albania-Greece,0.4166666666666667
Argentina-Greece,0.0
Armenia-Greece,0.6
Australia-Greece,0.3
Austria-Greece,0.3333333333333333
Belarus-Greece,0.6666666666666666
Belgium-Greece,0.3333333333333333
Bolivia-Greece,0.0
Bosnia and Herzegovina-Greece,0.4
Brazil-Greece,0.0
Bulgaria-Greece,0.23076923076923078
Cameroon-Greece,0.5
Canada-Greece,0.6666666666666666
Chile-Greece,0.5
Colombia-Greece,0.0
Costa Rica-Greece,0.5
Croatia-Greece,0.2857142857142857
Cyprus-Greece,0.6896551724137931
Czechia-Greece,0.125
Denmark-Greece,0.17647058823529413
East Germany-Greece,0.14285714285714285
